Bryson,Coleman,45,F,Malay,21738,Bryson.Coleman@yahoo.com,Facebook Facebook Google,Golfers Vim_Users Okstate_Fans,173,65362
Genesis,Robinson,20,M,Russian,21618,Genesis.Robinson@gmail.com,Google Facebook,Golfers Okstate_Fans,105,65430
Santiago,Martin,50,M,Malay,40801,Santiago.Martin@hotmail.net,Youtube,OU_Fans,166,65369
Charlotte,Thompson,66,M,Spanish,22529,Charlotte.Thompson@yahoo.com,Borg Borg,Okstate_Fans,144,65391
Madeline,Robinson,47,M,Russian,52166,Madeline.Robinson@yahoo.com,Borg Youtube Google,Okstate_Fans,146,65389
Naomi,Martinez,41,M,Hindi,31368,Naomi.Martinez@comcast.net,Twitter Borg Facebook,Deep_Space_Enthusiasts Mac_Users,327,65208
Austin,Perez,52,M,Urdu,96083,Austin.Perez@yahoo.com,Twitter Amazon,Deep_Space_Enthusiasts OU_Fans Vim_Users,486,65049
Sophie,Lewis,80,M,Mandarin,12430,Sophie.Lewis@hotmail.net,Amazon Google,University_of_Tennessee_Fans Mac_Users,111,65424
Michael,Walker,39,M,Arabic,57654,Michael.Walker@gmail.com,Borg Amazon Amazon,Linux_Users Emacs_Users Deep_Space_Enthusiasts,18,65517
Ryan,Carter,82,F,English,15900,Ryan.Carter@yahoo.com,Facebook Google,OU_Fans,290,65245
